"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8","Delete an order successfully","tests","Tue Apr 22 12:37:43 UTC 2025","passed","Tue Apr 22 12:37:43 UTC 2025","","test_orders","",""
"","2","Retrieve all orders successfully","tests","Tue Apr 22 12:37:43 UTC 2025","passed","Tue Apr 22 12:37:43 UTC 2025","","test_orders","",""
"","8","Update order status to different states","tests","Tue Apr 22 12:37:43 UTC 2025","passed","Tue Apr 22 12:37:43 UTC 2025","","test_orders","",""
"","8","Update order status to different states","tests","Tue Apr 22 12:37:43 UTC 2025","passed","Tue Apr 22 12:37:43 UTC 2025","","test_orders","",""
"","8","Retrieve an order by its ID","tests","Tue Apr 22 12:37:43 UTC 2025","passed","Tue Apr 22 12:37:43 UTC 2025","","test_orders","",""
"","2","Create order with missing fields - expect 422 error","tests","Tue Apr 22 12:37:43 UTC 2025","passed","Tue Apr 22 12:37:43 UTC 2025","","test_orders","",""
"","9","Update an order's status to Shipped","tests","Tue Apr 22 12:37:43 UTC 2025","passed","Tue Apr 22 12:37:43 UTC 2025","","test_orders","",""
"","2","Update a non-existent order - expect 404 error","tests","Tue Apr 22 12:37:43 UTC 2025","passed","Tue Apr 22 12:37:43 UTC 2025","","test_orders","",""
"","17","Create a new order successfully","tests","Tue Apr 22 12:37:43 UTC 2025","passed","Tue Apr 22 12:37:43 UTC 2025","","test_orders","",""
"","9","Update order status to different states","tests","Tue Apr 22 12:37:43 UTC 2025","passed","Tue Apr 22 12:37:43 UTC 2025","","test_orders","",""
